thr_YES,thr_NO,thr_TBD,macro_f1,fallback_mode
0.1,0.3666666666666667,0.9,0.803341,argmax
0.1,0.4111111111111111,0.1,0.820963,argmax
0.1,0.4111111111111111,0.14444444444444446,0.820963,argmax
0.1,0.4111111111111111,0.18888888888888888,0.820963,argmax
0.1,0.4111111111111111,0.23333333333333334,0.820963,argmax
0.1,0.4111111111111111,0.2777777777777778,0.820963,argmax
0.1,0.4111111111111111,0.32222222222222224,0.820861,argmax
0.1,0.4111111111111111,0.3666666666666667,0.820656,argmax
0.1,0.4111111111111111,0.4111111111111111,0.820638,argmax
0.1,0.4111111111111111,0.4555555555555556,0.820416,argmax
0.1,0.4111111111111111,0.5,0.820435,argmax
0.1,0.4111111111111111,0.5444444444444445,0.820737,argmax
0.1,0.4111111111111111,0.5888888888888889,0.818393,argmax
0.1,0.4111111111111111,0.6333333333333333,0.816305,argmax
0.1,0.4111111111111111,0.6777777777777778,0.815327,argmax
0.1,0.4111111111111111,0.7222222222222222,0.814566,argmax
0.1,0.4111111111111111,0.7666666666666667,0.813449,argmax
0.1,0.4111111111111111,0.8111111111111111,0.810382,argmax
0.1,0.4111111111111111,0.8555555555555555,0.807114,argmax
0.1,0.4111111111111111,0.9,0.804091,argmax
0.1,0.4555555555555556,0.1,0.820994,argmax
0.1,0.4555555555555556,0.14444444444444446,0.820994,argmax
0.1,0.4555555555555556,0.18888888888888888,0.820994,argmax
0.1,0.4555555555555556,0.23333333333333334,0.820994,argmax
0.1,0.4555555555555556,0.2777777777777778,0.820994,argmax
0.1,0.4555555555555556,0.32222222222222224,0.820895,argmax
0.1,0.4555555555555556,0.3666666666666667,0.820886,argmax
0.1,0.4555555555555556,0.4111111111111111,0.820865,argmax
0.1,0.4555555555555556,0.4555555555555556,0.820939,argmax
0.1,0.4555555555555556,0.5,0.820762,argmax
0.1,0.4555555555555556,0.5444444444444445,0.821209,argmax
0.1,0.4555555555555556,0.5888888888888889,0.819476,argmax
0.1,0.4555555555555556,0.6333333333333333,0.817406,argmax
0.1,0.4555555555555556,0.6777777777777778,0.816439,argmax
0.1,0.4555555555555556,0.7222222222222222,0.815689,argmax
0.1,0.4555555555555556,0.7666666666666667,0.814585,argmax
0.1,0.4555555555555556,0.8111111111111111,0.811545,argmax
0.1,0.4555555555555556,0.8555555555555555,0.808303,argmax
0.1,0.4555555555555556,0.9,0.805303,argmax
0.1,0.5,0.1,0.821076,argmax
0.1,0.5,0.14444444444444446,0.821076,argmax
0.1,0.5,0.18888888888888888,0.821076,argmax
0.1,0.5,0.23333333333333334,0.821076,argmax
0.1,0.5,0.2777777777777778,0.821077,argmax
0.1,0.5,0.32222222222222224,0.820981,argmax
0.1,0.5,0.3666666666666667,0.820974,argmax
0.1,0.5,0.4111111111111111,0.820853,argmax
0.1,0.5,0.4555555555555556,0.821109,argmax
