thr_YES,thr_NO,thr_TBD,macro_f1,fallback_mode
0.5,0.30000000000000004,0.6,0.818127,tbd
0.5,0.30000000000000004,0.7000000000000001,0.816682,tbd
0.5,0.30000000000000004,0.8,0.816682,tbd
0.5,0.30000000000000004,0.9,0.816682,tbd
0.5,0.4,0.1,0.820473,tbd
0.5,0.4,0.2,0.820473,tbd
0.5,0.4,0.30000000000000004,0.820473,tbd
0.5,0.4,0.4,0.820473,tbd
0.5,0.4,0.5,0.819881,tbd
0.5,0.4,0.6,0.819685,tbd
0.5,0.4,0.7000000000000001,0.819685,tbd
0.5,0.4,0.8,0.819685,tbd
0.5,0.4,0.9,0.819685,tbd
0.5,0.5,0.1,0.819679,tbd
0.5,0.5,0.2,0.819679,tbd
0.5,0.5,0.30000000000000004,0.819679,tbd
0.5,0.5,0.4,0.819679,tbd
0.5,0.5,0.5,0.819679,tbd
0.5,0.5,0.6,0.819679,tbd
0.5,0.5,0.7000000000000001,0.819679,tbd
0.5,0.5,0.8,0.819679,tbd
0.5,0.5,0.9,0.819679,tbd
0.5,0.6,0.1,0.817817,tbd
0.5,0.6,0.2,0.817817,tbd
0.5,0.6,0.30000000000000004,0.817817,tbd
0.5,0.6,0.4,0.817817,tbd
0.5,0.6,0.5,0.817817,tbd
0.5,0.6,0.6,0.817817,tbd
0.5,0.6,0.7000000000000001,0.817817,tbd
0.5,0.6,0.8,0.817817,tbd
0.5,0.6,0.9,0.817817,tbd
0.5,0.7000000000000001,0.1,0.813681,tbd
0.5,0.7000000000000001,0.2,0.813681,tbd
0.5,0.7000000000000001,0.30000000000000004,0.813681,tbd
0.5,0.7000000000000001,0.4,0.813681,tbd
0.5,0.7000000000000001,0.5,0.813681,tbd
0.5,0.7000000000000001,0.6,0.813681,tbd
0.5,0.7000000000000001,0.7000000000000001,0.813681,tbd
0.5,0.7000000000000001,0.8,0.813681,tbd
0.5,0.7000000000000001,0.9,0.813681,tbd
0.5,0.8,0.1,0.807269,tbd
0.5,0.8,0.2,0.807269,tbd
0.5,0.8,0.30000000000000004,0.807269,tbd
0.5,0.8,0.4,0.807269,tbd
0.5,0.8,0.5,0.807269,tbd
0.5,0.8,0.6,0.807269,tbd
0.5,0.8,0.7000000000000001,0.807269,tbd
0.5,0.8,0.8,0.807269,tbd
0.5,0.8,0.9,0.807269,tbd
0.5,0.9,0.1,0.785005,tbd
0.5,0.9,0.2,0.785005,tbd
0.5,0.9,0.30000000000000004,0.785005,tbd
0.5,0.9,0.4,0.785005,tbd
0.5,0.9,0.5,0.785005,tbd
0.5,0.9,0.6,0.785005,tbd
0.5,0.9,0.7000000000000001,0.785005,tbd
0.5,0.9,0.8,0.785005,tbd
0.5,0.9,0.9,0.785005,tbd
0.6,0.1,0.1,0.81762,tbd
0.6,0.1,0.2,0.81762,tbd
0.6,0.1,0.30000000000000004,0.817071,tbd
0.6,0.1,0.4,0.81621,tbd
0.6,0.1,0.5,0.814309,tbd
0.6,0.1,0.6,0.811545,tbd
0.6,0.1,0.7000000000000001,0.807048,tbd
0.6,0.1,0.8,0.798969,tbd
0.6,0.1,0.9,0.78881,tbd
0.6,0.2,0.1,0.81762,tbd
0.6,0.2,0.2,0.81762,tbd
0.6,0.2,0.30000000000000004,0.817429,tbd
0.6,0.2,0.4,0.817039,tbd
0.6,0.2,0.5,0.815748,tbd
0.6,0.2,0.6,0.813803,tbd
0.6,0.2,0.7000000000000001,0.810861,tbd
0.6,0.2,0.8,0.807968,tbd
0.6,0.2,0.9,0.807968,tbd
0.6,0.30000000000000004,0.1,0.817627,tbd
0.6,0.30000000000000004,0.2,0.817627,tbd
0.6,0.30000000000000004,0.30000000000000004,0.817627,tbd
0.6,0.30000000000000004,0.4,0.817478,tbd
0.6,0.30000000000000004,0.5,0.816575,tbd
0.6,0.30000000000000004,0.6,0.815132,tbd
0.6,0.30000000000000004,0.7000000000000001,0.813721,tbd
0.6,0.30000000000000004,0.8,0.813721,tbd
0.6,0.30000000000000004,0.9,0.813721,tbd
0.6,0.4,0.1,0.816642,tbd
0.6,0.4,0.2,0.816642,tbd
0.6,0.4,0.30000000000000004,0.816642,tbd
0.6,0.4,0.4,0.816642,tbd
0.6,0.4,0.5,0.816058,tbd
0.6,0.4,0.6,0.815866,tbd
0.6,0.4,0.7000000000000001,0.815866,tbd
0.6,0.4,0.8,0.815866,tbd
0.6,0.4,0.9,0.815866,tbd
0.6,0.5,0.1,0.815313,tbd
0.6,0.5,0.2,0.815313,tbd
0.6,0.5,0.30000000000000004,0.815313,tbd
0.6,0.5,0.4,0.815313,tbd
0.6,0.5,0.5,0.815313,tbd
0.6,0.5,0.6,0.815313,tbd
0.6,0.5,0.7000000000000001,0.815313,tbd
0.6,0.5,0.8,0.815313,tbd
0.6,0.5,0.9,0.815313,tbd
0.6,0.6,0.1,0.81354,tbd
0.6,0.6,0.2,0.81354,tbd
0.6,0.6,0.30000000000000004,0.81354,tbd
0.6,0.6,0.4,0.81354,tbd
0.6,0.6,0.5,0.81354,tbd
0.6,0.6,0.6,0.81354,tbd
0.6,0.6,0.7000000000000001,0.81354,tbd
0.6,0.6,0.8,0.81354,tbd
0.6,0.6,0.9,0.81354,tbd
0.6,0.7000000000000001,0.1,0.809521,tbd
0.6,0.7000000000000001,0.2,0.809521,tbd
0.6,0.7000000000000001,0.30000000000000004,0.809521,tbd
0.6,0.7000000000000001,0.4,0.809521,tbd
0.6,0.7000000000000001,0.5,0.809521,tbd
0.6,0.7000000000000001,0.6,0.809521,tbd
0.6,0.7000000000000001,0.7000000000000001,0.809521,tbd
0.6,0.7000000000000001,0.8,0.809521,tbd
0.6,0.7000000000000001,0.9,0.809521,tbd
0.6,0.8,0.1,0.803244,tbd
0.6,0.8,0.2,0.803244,tbd
0.6,0.8,0.30000000000000004,0.803244,tbd
0.6,0.8,0.4,0.803244,tbd
0.6,0.8,0.5,0.803244,tbd
0.6,0.8,0.6,0.803244,tbd
0.6,0.8,0.7000000000000001,0.803244,tbd
0.6,0.8,0.8,0.803244,tbd
0.6,0.8,0.9,0.803244,tbd
0.6,0.9,0.1,0.781296,tbd
0.6,0.9,0.2,0.781296,tbd
0.6,0.9,0.30000000000000004,0.781296,tbd
0.6,0.9,0.4,0.781296,tbd
0.6,0.9,0.5,0.781296,tbd
